"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
0,1,1,16449398,18,16.6157994387613,2.89037175789616
0,1,2,419000,16,12.9456261989043,2.77258872223978
0,1,2,29750,12,10.3005844109738,2.484906649788
0,1,2,184500,20,12.1254047424627,2.99573227355399
0,1,2,807800,13,13.6020697821114,2.56494935746154
0,1,2,888000,12,13.6967270219743,2.484906649788
0,1,1,194000,12,12.1756134380455,2.484906649788
0,1,2,161910,12,11.9947959042808,2.484906649788
0,1,1,3144250,13,14.9610859459094,2.56494935746154
0,1,1,237500,12,12.3779229024568,2.484906649788
0,1,1,336000,12,12.7248664389453,2.484906649788
0,1,2,198500,16,12.1985443791094,2.77258872223978
0,1,1,106500,11,11.5759002641316,2.39789527279837
0,1,1,155000,12,11.9511803959014,2.484906649788
0,1,1,3891937,12,15.1744175351067,2.484906649788
0,0,2,326800,12,12.697103641968,2.484906649788
0,0,2,41500,16,10.6334487062188,2.77258872223978
0,0,2,645910,12,13.3784154541735,2.484906649788
0,0,2,400,11,5.99146454710798,2.39789527279837
0,1,2,1825833,14,14.4175468792186,2.63905732961526
0,1,1,285000,18,12.5602444592508,2.89037175789616
0,1,1,125000,16,11.7360690162844,2.77258872223978
0,1,2,512000,17,13.1460799040216,2.83321334405622
0,1,1,16449398,12,16.6157994387613,2.484906649788
0,1,1,189500,17,12.1521443035046,2.83321334405622
0,1,2,640990,12,13.3707691351571,2.484906649788
0,1,2,599100,12,13.303183808072,2.484906649788
0,1,1,1847500,14,14.4293439318045,2.63905732961526
0,1,1,391000,12,12.8764628389675,2.484906649788
0,1,1,238000,16,12.3800259526536,2.77258872223978
0,1,1,533000,16,13.186276703148,2.77258872223978
0,1,2,2182000,19,14.5957524453752,2.94443897916644
0,1,1,408105,12,12.9192797732179,2.484906649788
0,1,2,230000,16,12.3458345879053,2.77258872223978
0,1,2,947000,16,13.7610543721682,2.77258872223978
1,1,2,1000,12,6.90775527898214,2.484906649788
1,1,1,157000,20,11.9640010843304,2.99573227355399
0,0,1,11000,11,9.30565055178051,2.39789527279837
0,0,2,27000,12,10.2035921449865,2.484906649788
0,0,2,500,15,6.21460809842219,2.70805020110221
0,0,2,71100,12,11.1718426157913,2.484906649788
0,1,1,1563750,12,14.2625973407633,2.484906649788
0,1,1,240000,13,12.3883942023241,2.56494935746154
0,0,1,4000,12,8.29404964010203,2.484906649788
0,1,2,444500,18,13.0047053339361,2.89037175789616
0,1,2,1642500,16,14.3117300293409,2.77258872223978
0,1,2,850654,12,13.6537607443857,2.484906649788
0,1,2,4500,12,8.41183267575841,2.484906649788
0,1,2,249000,13,12.4252081754468,2.56494935746154
0,1,1,625,14,6.4377516497364,2.63905732961526
0,1,2,589500,18,13.2870299989596,2.89037175789616
0,1,1,1105000,12,13.915355892934,2.484906649788
0,1,1,38823,16,10.5667681334898,2.77258872223978
0,1,1,5000,12,8.51719319141624,2.484906649788
0,1,1,382400,14,12.8542224601594,2.63905732961526
0,1,1,320000,10,12.6760762747759,2.30258509299405
1,1,1,296000,12,12.5981147333062,2.484906649788
0,1,2,126600,13,11.7487877886922,2.56494935746154
0,1,1,3050000,20,14.9306521485836,2.99573227355399
0,1,1,16449398,19,16.6157994387613,2.94443897916644
1,1,2,17380,12,9.76307539881938,2.484906649788
0,1,2,388000,12,12.8687606186054,2.484906649788
0,1,2,11100,13,9.31470038730042,2.56494935746154
0,1,2,334000,16,12.7188962719588,2.77258872223978
1,1,2,946000,13,13.759997848034,2.56494935746154
0,1,2,143400,16,11.8733932071477,2.77258872223978
0,1,1,716000,16,13.4814354459428,2.77258872223978
1,1,2,80000,18,11.289781913656,2.89037175789616
0,1,1,314500,20,12.6587393551226,2.99573227355399
0,1,1,623500,16,13.3431040441022,2.77258872223978
0,1,2,191000,13,12.1600287070288,2.56494935746154
0,1,2,529200,18,13.1791217112229,2.89037175789616
0,1,1,1646000,14,14.3138586602192,2.63905732961526
0,1,2,3025000,12,14.9224216494471,2.484906649788
0,1,1,87500,19,11.3793940723457,2.94443897916644
0,1,2,51600,12,10.8512769514697,2.484906649788
0,1,2,171000,12,12.0494188354848,2.484906649788
0,1,1,47000,12,10.7579028806922,2.484906649788
0,1,2,416000,12,12.9384405392434,2.484906649788
0,1,1,131700,16,11.7882818877314,2.77258872223978
0,1,1,1799883,18,14.4032322207538,2.89037175789616
0,1,1,591500,19,13.2904169624006,2.94443897916644
0,1,1,2715816,19,14.8146030186795,2.94443897916644
0,1,1,4974937,12,15.4199232651781,2.484906649788
0,1,1,13000,12,9.47270463644367,2.484906649788
