"country","year","GDP_USD","NetExports_USD","GDP_Growth_Percent","GDPPerCapita","GDPPerCapitaPPP","NetExports_GDP_Ratio"
"United States",1981,3.207041e+12,3.05239e+11,2.53770126586743,13976.10539252,NA,9.51777666702733
"United States",1982,3.343789e+12,2.8321e+11,-1.80301378017963,14433.787727053,NA,8.46973298853486
"United States",1983,3.634038e+12,2.76996e+11,4.58379097983199,15543.8937174925,NA,7.62226481946529
"United States",1984,4.037613e+12,3.0238e+11,7.23645316716272,17121.2254849995,NA,7.48907832424752
"United States",1985,4.338979e+12,3.03211e+11,4.16957534780626,18236.8277265009,NA,6.98807253964585
"United States",1986,4.579631e+12,3.20998e+11,3.46265504853929,19071.2271949295,NA,7.00925467575881
"United States",1987,4.855215e+12,3.63943e+11,3.45462966726373,20038.9410992658,NA,7.49591933621889
"United States",1988,5.236438e+12,4.44601e+11,4.17698239554727,21417.0119305191,NA,8.49052351999585
"United States",1989,5.64158e+12,5.04289e+11,3.67223783532349,22857.1544330056,NA,8.93879019707245
"United States",1990,5.963144e+12,5.51873e+11,1.88596558335223,23888.6000088133,44378.5240260331,9.25473206751338
"United States",1991,6.158129e+12,5.94931e+11,-0.108312881913292,24342.2589048189,43742.0261200519,9.66090512231881
"United States",1992,6.520327e+12,6.33053e+11,3.52249717698845,25418.9907763319,44659.1514621837,9.70891490564814
"United States",1993,6.858559e+12,6.54799e+11,2.7517958662618,26387.2937338171,45286.9355090553,9.54718039168286
"United States",1994,7.287236e+12,7.20937e+11,4.02902272603258,27694.853416234,46537.3571460633,9.89314741556332
"United States",1995,7.639749e+12,8.1281e+11,2.68443073360764,28690.8757013347,47220.9579595731,10.639223880261
"United States",1996,8.073122e+12,8.67589e+11,3.77277269138068,29967.7127181749,48435.700103362,10.7466355642836
"United States",1997,8.577552e+12,9.53803e+11,4.44712793805328,31459.1299691554,49984.2696500617,11.1197577117574
"United States",1998,9.062817e+12,9.52979e+11,4.48313335029331,32853.6725949234,51619.869836146,10.5152625281963
"United States",1999,9.631172e+12,9.9291e+11,4.78842504949371,34515.3813073394,53474.0454298226,10.3093372229257
"United States",2000,1.0250952e+13,1.096111e+12,4.07758576006954,36329.9702595751,55038.6224973696,10.6927727297913
"United States",2001,1.0581929e+13,1.026812e+12,0.95553834188668,37133.6203973517,55017.3049765671,9.70344820873397
"United States",2002,1.0929108e+13,9.97979e+11,1.7004473278454,37997.7424300242,55436.1169800356,9.13138565379718
"United States",2003,1.145645e+13,1.035165e+12,2.79560596521233,39490.3023903176,56498.2078312289,9.03565240541354
"United States",2004,1.2217196e+13,1.176363e+12,3.84777169424153,41724.6411982614,58131.6336843365,9.62874787307988
"United States",2005,1.3039197e+13,1.30158e+12,3.48354993544559,44123.3996470026,59604.7536363553,9.98205641037558
"United States",2006,1.3815583e+13,1.47017e+12,2.78453963817891,46301.9876485519,60676.5655689312,10.641389509223
"United States",2007,1.4474228e+13,1.659295e+12,2.00385829909158,48050.227412195,61306.596939243,11.4637892950146
"United States",2008,1.4769862e+13,1.83528e+12,0.113587248160997,48570.0594269601,60798.4338397205,12.4258439246081
"United States",2009,1.4478067e+13,1.582774e+12,-2.57650023225001,47194.9500893872,58714.9736895542,10.9322190593537
"United States",2010,1.5048971e+13,1.857247e+12,2.69519258234851,48642.6312088213,59789.4129077609,12.3413554322086
"United States",2011,1.5599732e+13,2.115864e+12,1.56440685537306,50024.8812320773,60245.4843989068,13.5634637825829
"United States",2012,1.625397e+13,2.2177e+12,2.289113386319,51708.3940614082,61134.5306079914,13.6440512687054
"United States",2013,1.6880683e+13,2.287922e+12,2.11783009786468,53297.3862901595,61958.7234408783,13.5534918818154
"United States",2014,1.7608138e+13,2.378545e+12,2.52381981372621,55153.3940182967,63018.8033934414,13.5082142132235
"United States",2015,1.8295019e+13,2.270622e+12,2.94555045599772,56849.4697923159,64359.4725898758,12.4111486301271
"United States",2016,1.8804913e+13,2.235558e+12,1.81945147620522,57976.628204291,65017.6549627249,11.8881592273253
"United States",2017,1.9612102e+13,2.38826e+12,2.45762230175086,60047.7190728307,66155.5555685457,12.177481026766
"United States",2018,2.0656516e+13,2.538089e+12,2.96650506916596,62875.6661382728,67719.7656402495,12.2871107596266
"United States",2019,2.1539982e+13,2.539391e+12,2.58382533018889,65227.9565911038,69112.6026870666,11.7891974097286
"United States",2020,2.1354105e+13,2.151139e+12,-2.16302913866512,64401.5074354212,67342.0709283912,10.0736556273372
"United States",2021,2.3681171e+13,2.55543e+12,6.05505293304556,71307.4017277218,71307.4017277218,10.7909781995156
"United States",2022,2.6006893e+13,3.017379e+12,2.5123753198332,77860.9112908848,72679.2575396157,11.6022279170372
"United States",2023,2.7720709e+13,3.052469e+12,2.88755600905984,82304.6204272866,74158.716416669,11.0115112856601
